country_code,country_name,year,gdp_usd,gdp_growth_pct,debt_to_gdp_pct,inflation_pct,unemployment_pct,current_account_gdp,gdp_per_capita_usd,debt_sustainability_signal,misery_index,current_account_deficit
DE,Germany,2008,3808197720125.0,0.887902330743628,,2.62837981637219,7.508,5.57767610595061,46379.1647953479,,10.14,0
DE,Germany,2009,3478545516683.59,-5.54455451920674,,0.312739007368446,7.88,5.87627948005071,42471.8868625226,,8.19,0
DE,Germany,2010,3467093769666.67,4.13463778522758,,1.1038103778926,7.043,5.77277636027696,42396.9665976293,,8.15,0
DE,Germany,2011,3823575803793.78,3.75796884489337,,2.07517283735874,5.967,6.26091712383114,47630.9761883572,,8.04,0
DE,Germany,2012,3596483233406.25,0.463512036709204,,2.00848884782956,5.372,7.19554460437767,44718.0159214069,,7.38,0
DE,Germany,2013,3807023797050.99,0.396995583779145,,1.50472330251876,5.316,6.72910853583547,47206.8353514242,,6.82,0
DE,Germany,2014,3964870735760.77,2.18018602168017,,0.906794000434245,4.979,7.19417703303447,48959.5991203133,,5.89,0
DE,Germany,2015,3425099578746.09,1.66300602334775,,0.514426137125456,4.612,8.09671429040111,41929.7549110722,,5.13,0
DE,Germany,2016,3536787895179.0,2.22222216259371,,0.491747008445174,4.104,8.9023603683727,42948.9381932694,,4.6,0
DE,Germany,2017,3765351626105.89,2.797906720551,,1.50949485109628,3.781,8.07873526112888,45553.9341495339,,5.29,0
DE,Germany,2018,4055433215301.96,1.13569604599849,,1.73216879766941,3.384,8.43761219902204,48916.1686612154,,5.12,0
DE,Germany,2019,3959894794039.21,0.977734697038784,,1.44565976888253,3.163,7.87471222403171,47656.199739747,,4.61,0
DE,Germany,2020,3941398957073.94,-4.13191443239947,,0.144877925813981,3.881,6.34782686016016,47394.8734504469,,4.03,0
DE,Germany,2021,4355251953410.78,3.90999994204108,,3.06666666666673,3.594,6.9200696637534,52349.2459994422,,6.66,0
DE,Germany,2022,4201021706478.62,1.8092581243061,,6.87257438551096,3.137,3.85045627175846,50506.5179638543,,10.01,0
DE,Germany,2023,4562207532490.28,-0.869647578573321,,5.94643667725823,3.071,5.51222510245724,54776.7668235491,,9.02,0
DE,Germany,2024,4685592577804.69,-0.495851897260366,,2.2564981433876,3.4,5.81156126321154,56103.7323182554,,5.66,0
DE,,2025,,,,,3.711,,,,,0
GB,United Kingdom,2000,1671597821152.97,4.52438074810904,87.284376049437,1.18295624210408,5.558,-1.80322397590519,28383.8761094996,82.76,6.74,1
GB,United Kingdom,2001,1656171009068.66,2.39102229602824,84.04178204707,1.53234960272418,4.696,-1.75946787442188,28013.8729635508,81.65,6.23,1
GB,United Kingdom,2002,1790536570743.41,1.70902736258567,86.1686223366587,1.52040245947455,5.037,-1.96774674220137,30158.7017807858,84.46,6.56,1
GB,United Kingdom,2003,2061227755102.04,3.21851612669614,86.4073086616893,1.37650038542013,4.807,-1.82204886055783,34556.7726095905,83.19,6.18,1
GB,United Kingdom,2004,2429774807762.72,2.32601853325993,90.2045973945536,1.39039756680422,4.594,-2.28435751976608,40504.4118103928,87.88,5.98,1
GB,United Kingdom,2005,2551361818181.82,2.7906547174688,91.8639528693767,2.0891364902507,4.884,-1.97517731781616,42240.2462987547,89.07,6.97,1
GB,United Kingdom,2006,2719558417663.29,2.18982132415704,91.788062892401,2.4556616643929,5.472,-3.10941980167091,44695.161023424,89.6,7.93,1
GB,United Kingdom,2007,3104699879951.98,2.93091133582351,93.3735852072108,2.38656150773327,5.399,-3.71636602944722,50629.0799172887,90.44,7.79,1
GB,United Kingdom,2008,2945251838235.29,-0.0494116727402769,104.84023075526,3.52140856342539,5.748,-3.86567706212854,47652.4030691881,104.89,9.27,1
GB,United Kingdom,2009,2429358155475.93,-4.58740819226323,122.887383328898,1.96173173560109,7.683,-3.01852853421921,39009.3715547821,127.47,9.64,1
GB,United Kingdom,2010,2496740681057.14,2.26054460931586,130.497283454602,2.49265472467065,7.973,-2.75934253189813,39778.3220528565,128.24,10.47,1
GB,United Kingdom,2011,2675590034128.66,0.851437739020326,143.125971214621,3.8561124468282,8.195,-1.6237867474026,42295.9273835322,142.27,12.05,1
GB,United Kingdom,2012,2719715961539.83,1.52826034721852,146.371335905972,2.5732347965453,8.279,-3.13257837481106,42688.3263728372,144.84,10.85,1
GB,United Kingdom,2013,2796908333283.39,1.71846961308464,141.033172505075,2.29166666666659,7.752,-4.63114682704937,43606.9837896348,139.31,10.04,1
GB,United Kingdom,2014,3085362169410.29,3.16017351468152,149.584281299965,1.45112016293279,6.398,-4.97786981840051,47746.2421759562,146.42,7.85,1
GB,United Kingdom,2015,2945579890258.46,2.14040560033371,147.063146778865,0.36804684232536,5.552,-4.91700489264854,45255.3449216209,144.92,5.92,1
GB,United Kingdom,2016,2706807606538.73,2.20652020635357,155.581504971929,1.0084173681141,4.909,-5.46283821927875,41257.9085545556,153.37,5.92,1
GB,United Kingdom,2017,2699118387873.1,3.02322219840339,160.141177233502,2.55775577557747,4.501,-3.47326460218152,40916.8115070354,157.12,7.06,1
GB,United Kingdom,2018,2897028009916.05,1.55133095078786,156.766820519267,2.29283990345938,4.145,-3.88728858372976,43702.9976303165,155.22,6.44,1
GB,United Kingdom,2019,2875710080015.3,1.25629899760824,158.972569875821,1.73810460086513,3.657,-2.66245642145608,43158.7411267323,157.72,5.4,1
GB,United Kingdom,2020,2724001478304.59,-10.047896637362,194.682828796265,0.989486703772491,4.472,-2.92883387550298,40812.6794663879,204.73,5.46,1
GB,United Kingdom,2021,3194559188925.93,8.5431118453255,183.804848939919,2.51837109614213,4.864,-0.752836357784011,47691.3768799404,175.26,7.38,1
GB,United Kingdom,2022,3181244350465.41,5.14970388522993,138.215904304967,7.92204883147902,3.768,-2.06737101121871,47057.043229179,133.07,11.69,1
GB,United Kingdom,2023,3420796653789.08,0.271650048355255,136.142431919028,6.79396706793963,4.025,-3.57676183842871,49944.4702124201,135.87,10.82,1
GB,United Kingdom,2024,3686033044482.13,1.1264226705118,131.073062954793,3.2715729463592,4.361,-2.98180220382834,53246.3676145108,129.95,7.63,1
GB,,2025,,,,,4.746,,,,,0
GR,Greece,2000,125760166224.805,4.13782699405849,,3.15118162493827,11.345,-7.80647954386925,11638.2010697215,,14.5,1
GR,Greece,2001,132050474720.03,4.65041459442163,,3.37396832213865,10.764,-7.1208377005018,12156.9572824221,,14.14,1
GR,Greece,2002,150253800085.865,4.68313727063017,,3.62935871878874,10.346,-6.38625728965696,13782.195640943,,13.98,1
